Id,OwnerId,IsDeleted,Name,CreatedDate,CreatedById,LastModifiedDate,LastModifiedById,SystemModstamp,nFORCE__Group__c,nFORCE__Is_Hidden__c,nFORCE__Order__c,nFORCE__Parent_Route__c,nFORCE__Route__c,nFORCE__lookupKey__c,nFORCE__Has_Visibility_Criteria__c,nFORCE__Is_Default_Context_Child__c,nFORCE__Is_Forward_Navigation_Disabled__c,nFORCE__Question_Group__c,nFORCE__Visibility_Criteria__c,nFORCE__Conditional_Display_Criteria__c,nPortal__Is_Portal_Enabled__c,Route_App__c,nFORCE__Orchestration_Step__c,AutorabitExtId__c,Rabit_Text__c
"a3f4T000000PwR4QAK","0054T000000ZZW7QAO","","9327","2019-12-06T14:32:20.000Z","0054T000000ZZW7QAO","2019-12-06T14:32:20.000Z","0054T000000ZZW7QAO","","a2K4T00000007wHUAQ","false","7010.0","a324T000000QN5bQAG","a324T000000QN5bQAG","72331575395414725","false","false","false","","","","false","","","a2D6g0000004buGEAQ",""
"a3f4T000000PwR5QAK","0054T000000ZZW7QAO","","9328","2019-12-06T14:32:20.000Z","0054T000000ZZW7QAO","2019-12-06T14:32:20.000Z","0054T000000ZZW7QAO","","a2K4T00000007wHUAQ","false","8000.0","","a324T000000QN5dQAG","01501575395414725","false","false","false","","","","false","","","a2D6g0000004buHEAQ",""
"a3f4T000000PwR6QAK","0054T000000ZZW7QAO","","9329","2019-12-06T14:32:20.000Z","0054T000000ZZW7QAO","2019-12-06T14:32:20.000Z","0054T000000ZZW7QAO","","a2K4T00000007wHUAQ","false","11010.0","a324T000000QN5gQAG","a324T000000QN5gQAG","95391575395414728","false","false","false","","","","false","","","a2D6g0000004buNEAQ",""
"a3f4T000000PwR7QAK","0054T000000ZZW7QAO","","9330","2019-12-06T14:32:20.000Z","0054T000000ZZW7QAO","2019-12-06T14:32:20.000Z","0054T000000ZZW7QAO","","a2K4T00000007wHUAQ","false","11000.0","","a324T000000QN5gQAG","62641575395414728","false","false","false","","","","false","","","a2D6g0000004buOEAQ",""
"a3f4T000000PwR8QAK","0054T000000ZZW7QAO","","9331","2019-12-06T14:32:20.000Z","0054T000000ZZW7QAO","2019-12-06T14:32:20.000Z","0054T000000ZZW7QAO","","a2K4T00000007wHUAQ","false","10.0","a324T000000QN5sQAG","a324T000000QN5sQAG","26571575395414729","false","false","false","","","","false","","","a2D6g0000004buSEAQ",""
"a3f4T000000PwR9QAK","0054T000000ZZW7QAO","","9332","2019-12-06T14:32:20.000Z","0054T000000ZZW7QAO","2019-12-06T14:32:20.000Z","0054T000000ZZW7QAO","","a2K4T00000007wHUAQ","false","0.0","","a324T000000QN5sQAG","76951575395414730","false","false","false","","","","false","","","a2D6g0000004buTEAQ",""
"a3f4T000000PwRAQA0","0054T000000ZZW7QAO","","9333","2019-12-06T14:32:20.000Z","0054T000000ZZW7QAO","2019-12-06T14:32:20.000Z","0054T000000ZZW7QAO","","a2K4T00000007wHUAQ","false","4010.0","a324T000000QN5hQAG","a324T000000QN5hQAG","27261575395414730","false","false","false","","","","false","","","a2D6g0000004buVEAQ",""
"a3f4T000000PwRBQA0","0054T000000ZZW7QAO","","9334","2019-12-06T14:32:20.000Z","0054T000000ZZW7QAO","2019-12-06T14:32:20.000Z","0054T000000ZZW7QAO","","a2K4T00000007wHUAQ","false","4000.0","","a324T000000QN5hQAG","06641575395414731","false","false","false","","","","false","","","a2D6g0000004buWEAQ",""
"a3f4T000000PwRCQA0","0054T000000ZZW7QAO","","9335","2019-12-06T14:32:20.000Z","0054T000000ZZW7QAO","2019-12-06T14:32:20.000Z","0054T000000ZZW7QAO","","a2K4T00000007wHUAQ","false","10010.0","a324T000000QN5pQAG","a324T000000QN5pQAG","83051575395414731","false","false","false","","","","false","","","a2D6g0000004buYEAQ",""
"a3f4T000000PwRDQA0","0054T000000ZZW7QAO","","9336","2019-12-06T14:32:20.000Z","0054T000000ZZW7QAO","2019-12-06T14:32:20.000Z","0054T000000ZZW7QAO","","a2K4T00000007wHUAQ","false","10000.0","","a324T000000QN5pQAG","96891575395414732","false","false","false","","","","false","","","a2D6g0000004buZEAQ",""
"a3f4T000000PwREQA0","0054T000000ZZW7QAO","","9337","2019-12-06T14:32:20.000Z","0054T000000ZZW7QAO","2019-12-06T14:32:20.000Z","0054T000000ZZW7QAO","","a2K4T00000007wHUAQ","false","8000010.0","a324T000000QN5oQAG","a324T000000QN5oQAG","20141575395414732","false","false","false","","","","false","","","a2D6g0000004buaEAA",""
"a3f4T000000PwRFQA0","0054T000000ZZW7QAO","","9338","2019-12-06T14:32:20.000Z","0054T000000ZZW7QAO","2019-12-06T14:32:20.000Z","0054T000000ZZW7QAO","","a2K4T00000007wHUAQ","false","8000000.0","","a324T000000QN5oQAG","97521575395414732","false","false","false","","","","false","","","a2D6g0000004bubEAA",""
"a3f4T000000PwRGQA0","0054T000000ZZW7QAO","","9339","2019-12-06T14:32:20.000Z","0054T000000ZZW7QAO","2019-12-06T14:32:20.000Z","0054T000000ZZW7QAO","","a2K4T00000007wHUAQ","false","6010.0","a324T000000QN5iQAG","a324T000000QN5iQAG","56881575395414734","false","false","false","","","{{IF=""A""}}{{COND=""A"" FIELD=""LLC_BI__Loan__c.LLC_BI__Stage__c"" IS=""Qualification""}}{{SHOW_ROUTE}}{{ENDIF}}{{IF=""B""}}{{COND=""B"" FIELD=""LLC_BI__Loan__c.LLC_BI__Stage__c"" IS=""Proposal""}}{{SHOW_ROUTE}}{{ENDIF}}{{IF=""C""}}{{COND=""C"" FIELD=""LLC_BI__Loan__c.LLC_BI__Stage__c"" IS=""Credit Underwriting""}}{{SHOW_ROUTE}}{{ENDIF}}{{IF=""D""}}{{COND=""D"" FIELD=""LLC_BI__Loan__c.LLC_BI__Stage__c"" IS=""Final Review""}}{{SHOW_ROUTE}}{{ENDIF}}","false","","","a2D6g0000004bugEAA",""
"a3f4T000000PwRHQA0","0054T000000ZZW7QAO","","9340","2019-12-06T14:32:20.000Z","0054T000000ZZW7QAO","2019-12-06T14:32:20.000Z","0054T000000ZZW7QAO","","a2K4T00000007wHUAQ","false","6000.0","","a324T000000QN5iQAG","20551575395414734","false","false","false","","","{{IF=""A""}}{{COND=""A"" FIELD=""LLC_BI__Loan__c.LLC_BI__Stage__c"" IS=""Qualification""}}{{SHOW_ROUTE}}{{ENDIF}}{{IF=""B""}}{{COND=""B"" FIELD=""LLC_BI__Loan__c.LLC_BI__Stage__c"" IS=""Proposal""}}{{SHOW_ROUTE}}{{ENDIF}}{{IF=""C""}}{{COND=""C"" FIELD=""LLC_BI__Loan__c.LLC_BI__Stage__c"" IS=""Credit Underwriting""}}{{SHOW_ROUTE}}{{ENDIF}}{{IF=""D""}}{{COND=""D"" FIELD=""LLC_BI__Loan__c.LLC_BI__Stage__c"" IS=""Final Review""}}{{SHOW_ROUTE}}{{ENDIF}}","false","","","a2D6g0000004buhEAA",""
"a3f4T000000PwRIQA0","0054T000000ZZW7QAO","","9341","2019-12-06T14:32:20.000Z","0054T000000ZZW7QAO","2019-12-06T14:32:20.000Z","0054T000000ZZW7QAO","","a2K4T00000007wHUAQ","false","9000000.0","a324T000000QN5qQAG","a324T000000QN5qQAG","17881575395414735","false","false","false","","","","false","","","a2D6g0000004bumEAA",""
"a3f4T000000PwRJQA0","0054T000000ZZW7QAO","","9342","2019-12-06T14:32:20.000Z","0054T000000ZZW7QAO","2019-12-06T14:32:20.000Z","0054T000000ZZW7QAO","","a2K4T00000007wHUAQ","false","1010.0","a324T000000QN5rQAG","a324T000000QN5rQAG","44761575395414736","false","false","false","","","{{IF=""A""}}{{COND=""A"" FIELD=""LLC_BI__Loan__c.LLC_BI__Stage__c"" IS=""Qualification""}}{{SHOW_ROUTE}}{{ENDIF}}{{IF=""B""}}{{COND=""B"" FIELD=""LLC_BI__Loan__c.LLC_BI__Stage__c"" IS=""Proposal""}}{{SHOW_ROUTE}}{{ENDIF}}{{IF=""C""}}{{COND=""C"" FIELD=""LLC_BI__Loan__c.LLC_BI__Stage__c"" IS=""Credit Underwriting""}}{{SHOW_ROUTE}}{{ENDIF}}{{IF=""D""}}{{COND=""D"" FIELD=""LLC_BI__Loan__c.LLC_BI__Stage__c"" IS=""Final Review""}}{{SHOW_ROUTE}}{{ENDIF}}","false","","","a2D6g0000004bunEAA",""
